datetime,Long,Short
2017-01-01 00:00:00+01:00,26.73,26.73
2017-01-01 00:15:00+01:00,46.73,46.73
2017-01-01 00:30:00+01:00,46.73,46.73
2017-01-01 00:45:00+01:00,46.73,46.73
2017-01-01 01:00:00+01:00,57.98,60.15
2017-01-01 01:15:00+01:00,111.24,113.51
2017-01-01 01:30:00+01:00,111.24,113.64
2017-01-01 01:45:00+01:00,111.24,113.6
2017-01-01 02:00:00+01:00,111.24,113.96
2017-01-01 02:15:00+01:00,111.24,114.01
2017-01-01 02:30:00+01:00,111.24,114.31
2017-01-01 02:45:00+01:00,111.24,111.24
2017-01-01 03:00:00+01:00,46.73,46.73
2017-01-01 03:15:00+01:00,111.24,111.24
2017-01-01 03:30:00+01:00,111.24,111.24
2017-01-01 03:45:00+01:00,111.24,112.8
2017-01-01 04:00:00+01:00,46.73,46.73
2017-01-01 04:15:00+01:00,46.73,46.73
2017-01-01 04:30:00+01:00,46.73,46.73
2017-01-01 04:45:00+01:00,46.73,46.73
2017-01-01 05:00:00+01:00,46.73,46.73
2017-01-01 05:15:00+01:00,46.73,46.73
2017-01-01 05:30:00+01:00,46.73,46.73
2017-01-01 05:45:00+01:00,46.73,46.73
2017-01-01 06:00:00+01:00,46.73,46.73
2017-01-01 06:15:00+01:00,46.73,46.73
2017-01-01 06:30:00+01:00,46.73,46.73
2017-01-01 06:45:00+01:00,46.73,46.73
2017-01-01 07:00:00+01:00,46.73,47.36
2017-01-01 07:15:00+01:00,46.73,47.51
2017-01-01 07:30:00+01:00,46.73,47.92
2017-01-01 07:45:00+01:00,46.73,48.1
2017-01-01 08:00:00+01:00,80.28,80.28
2017-01-01 08:15:00+01:00,80.28,81.7
2017-01-01 08:30:00+01:00,46.73,46.73
2017-01-01 08:45:00+01:00,46.73,46.73
2017-01-01 09:00:00+01:00,46.73,46.73
2017-01-01 09:15:00+01:00,46.73,46.73
2017-01-01 09:30:00+01:00,46.73,47.61
2017-01-01 09:45:00+01:00,46.73,47.73
2017-01-01 10:00:00+01:00,46.73,46.73
2017-01-01 10:15:00+01:00,46.73,46.73
2017-01-01 10:30:00+01:00,46.73,46.73
2017-01-01 10:45:00+01:00,46.73,46.73
2017-01-01 11:00:00+01:00,46.73,46.73
2017-01-01 11:15:00+01:00,46.73,46.73
2017-01-01 11:30:00+01:00,46.73,46.73
2017-01-01 11:45:00+01:00,46.73,47.38
2017-01-01 12:00:00+01:00,49.57,49.57
2017-01-01 12:15:00+01:00,49.57,50.53
2017-01-01 12:30:00+01:00,49.57,50.87
2017-01-01 12:45:00+01:00,49.57,49.57
2017-01-01 13:00:00+01:00,48.69,48.69
2017-01-01 13:15:00+01:00,48.69,50.25
2017-01-01 13:30:00+01:00,111.24,113.18
2017-01-01 13:45:00+01:00,111.24,111.24
2017-01-01 14:00:00+01:00,46.73,46.73
2017-01-01 14:15:00+01:00,46.73,46.73
2017-01-01 14:30:00+01:00,46.73,46.73
2017-01-01 14:45:00+01:00,46.73,46.73
2017-01-01 15:00:00+01:00,46.73,46.73
2017-01-01 15:15:00+01:00,46.73,46.73
2017-01-01 15:30:00+01:00,46.73,46.73
2017-01-01 15:45:00+01:00,46.73,46.73
2017-01-01 16:00:00+01:00,46.73,47.5
2017-01-01 16:15:00+01:00,46.73,47.62
2017-01-01 16:30:00+01:00,46.73,46.73
2017-01-01 16:45:00+01:00,46.73,46.73
2017-01-01 17:00:00+01:00,66.74,68.22
2017-01-01 17:15:00+01:00,66.74,68.37
2017-01-01 17:30:00+01:00,66.74,66.74
2017-01-01 17:45:00+01:00,111.24,111.24
2017-01-01 18:00:00+01:00,111.24,112.95
2017-01-01 18:15:00+01:00,111.24,111.24
2017-01-01 18:30:00+01:00,111.24,111.24
2017-01-01 18:45:00+01:00,111.24,111.24
2017-01-01 19:00:00+01:00,2.41,2.41
2017-01-01 19:15:00+01:00,2.41,2.41
2017-01-01 19:30:00+01:00,2.41,2.41
2017-01-01 19:45:00+01:00,66.74,66.74
2017-01-01 20:00:00+01:00,61.08,61.65
2017-01-01 20:15:00+01:00,61.74,62.9
2017-01-01 20:30:00+01:00,62.04,63.76
2017-01-01 20:45:00+01:00,66.74,69.6
2017-01-01 21:00:00+01:00,315.0,320.62
2017-01-01 21:15:00+01:00,315.0,326.16
2017-01-01 21:30:00+01:00,310.0,321.63
2017-01-01 21:45:00+01:00,310.0,322.13
2017-01-01 22:00:00+01:00,310.0,310.0
2017-01-01 22:15:00+01:00,310.0,321.92
2017-01-01 22:30:00+01:00,310.0,321.89
2017-01-01 22:45:00+01:00,310.0,321.3
2017-01-01 23:00:00+01:00,310.0,310.0
2017-01-01 23:15:00+01:00,49.27,49.27
2017-01-01 23:30:00+01:00,49.27,49.27
2017-01-01 23:45:00+01:00,49.27,49.27
2017-01-02 00:00:00+01:00,55.64,57.71
2017-01-02 00:15:00+01:00,20.39,20.39
2017-01-02 00:30:00+01:00,20.39,20.39
2017-01-02 00:45:00+01:00,55.64,55.64
2017-01-02 01:00:00+01:00,55.64,55.64
2017-01-02 01:15:00+01:00,55.64,55.64
2017-01-02 01:30:00+01:00,55.64,55.64
2017-01-02 01:45:00+01:00,20.39,20.39
2017-01-02 02:00:00+01:00,55.64,56.34
2017-01-02 02:15:00+01:00,55.64,55.64
2017-01-02 02:30:00+01:00,55.64,55.64
2017-01-02 02:45:00+01:00,55.64,55.64
2017-01-02 03:00:00+01:00,20.39,20.39
